student_id,day,start,finish
4,M,4:30,8:30
8,T,6:30,3:30
14,W,7:30,3:30
6,R,7:30,5:30
12,F,4:30,7:30
10,M,3:30,3:30
10,T,5:30,4:30
6,W,4:30,7:30
5,R,2:30,3:30
8,F,5:30,8:30
8,M,6:30,4:30
1,T,7:30,7:30
16,W,6:30,5:30
4,R,5:30,8:30
19,F,3:30,8:30
4,M,4:30,6:30
15,T,5:30,7:30
6,W,7:30,7:30
16,R,6:30,6:30
1,F,4:30,8:30
15,M,2:30,7:30
13,T,3:30,8:30
11,W,2:30,3:30
2,R,7:30,5:30
5,F,5:30,6:30
17,M,6:30,5:30
8,T,5:30,4:30
16,W,7:30,3:30
13,R,6:30,8:30
13,F,7:30,4:30
10,M,4:30,8:30
8,T,5:30,8:30
1,W,2:30,8:30
11,R,2:30,4:30
14,F,4:30,8:30
11,M,4:30,5:30
16,T,2:30,7:30
2,W,7:30,4:30
18,R,4:30,4:30
18,F,5:30,4:30
6,M,6:30,5:30
19,T,6:30,3:30
12,W,3:30,3:30
10,R,2:30,5:30
1,F,2:30,4:30
5,M,6:30,7:30
17,T,2:30,8:30
19,W,6:30,7:30
18,R,6:30,6:30
8,F,5:30,5:30
4,M,2:30,6:30
17,T,4:30,5:30
6,W,3:30,4:30
8,R,7:30,7:30
17,F,7:30,6:30
10,M,4:30,7:30
4,T,7:30,5:30
18,W,4:30,3:30
14,R,2:30,3:30
6,F,4:30,8:30
5,M,7:30,5:30
19,T,7:30,4:30
8,W,5:30,8:30
7,R,7:30,4:30
5,F,4:30,5:30
16,M,3:30,5:30
13,T,4:30,8:30
4,W,2:30,6:30
11,R,4:30,8:30
11,F,3:30,5:30
15,M,7:30,5:30
1,T,3:30,5:30
16,W,5:30,6:30
20,R,4:30,3:30
11,F,2:30,8:30
13,M,2:30,6:30
14,T,6:30,4:30
11,W,4:30,3:30
12,R,6:30,3:30
17,F,5:30,7:30
12,M,2:30,5:30
14,T,6:30,5:30
15,W,4:30,3:30
8,R,6:30,6:30
8,F,7:30,5:30
13,M,7:30,6:30
6,T,3:30,6:30
18,W,2:30,6:30
16,R,2:30,4:30
3,F,4:30,7:30
17,M,3:30,8:30
13,T,2:30,6:30
15,W,7:30,3:30
6,R,6:30,8:30
14,F,2:30,5:30
3,M,5:30,5:30
4,W,7:30,7:30
16,R,7:30,4:30
12,F,2:30,5:30
