id,day,start,finish
9,M,3:30,5:30
6,T,3:30,3:30
8,W,2:30,5:30
7,R,2:30,3:30
7,F,2:30,6:30
3,M,7:30,4:30
10,T,5:30,3:30
5,W,2:30,7:30
9,R,4:30,3:30
7,F,5:30,6:30
10,M,6:30,6:30
4,T,7:30,8:30
2,W,5:30,5:30
1,R,6:30,7:30
4,F,2:30,4:30
10,M,2:30,5:30
8,T,5:30,7:30
5,W,4:30,3:30
9,R,5:30,6:30
7,F,7:30,7:30
2,M,4:30,6:30
4,T,5:30,7:30
8,W,5:30,3:30
2,R,5:30,8:30
2,F,4:30,7:30
7,M,6:30,5:30
6,T,2:30,8:30
3,W,7:30,4:30
8,R,6:30,8:30
6,F,3:30,8:30
6,M,6:30,3:30
8,T,5:30,4:30
5,W,7:30,4:30
8,R,3:30,6:30
10,F,3:30,6:30
1,M,5:30,3:30
4,T,7:30,6:30
10,W,7:30,3:30
6,R,3:30,6:30
7,F,7:30,7:30
7,M,6:30,3:30
9,T,5:30,4:30
1,W,3:30,7:30
9,R,6:30,4:30
3,F,3:30,4:30
2,M,6:30,4:30
2,T,4:30,6:30
9,W,5:30,8:30
4,R,4:30,7:30
7,F,7:30,3:30
6,M,3:30,8:30
2,T,3:30,7:30
2,W,7:30,7:30
2,R,7:30,7:30
5,F,2:30,6:30
2,M,4:30,7:30
1,T,6:30,4:30
1,W,2:30,8:30
6,R,7:30,8:30
6,F,4:30,4:30
6,M,3:30,7:30
10,T,2:30,6:30
9,W,3:30,4:30
9,R,7:30,6:30
8,F,6:30,4:30
7,M,4:30,4:30
6,T,3:30,8:30
1,W,7:30,4:30
10,R,5:30,6:30
6,F,6:30,3:30
6,M,7:30,4:30
7,T,6:30,6:30
1,W,7:30,3:30
10,R,6:30,8:30
2,F,6:30,4:30
9,M,5:30,7:30
8,T,4:30,8:30
5,W,6:30,8:30
8,R,3:30,8:30
9,F,2:30,3:30
9,M,3:30,3:30
10,T,5:30,6:30
7,W,3:30,8:30
3,R,3:30,6:30
4,F,2:30,4:30
9,M,6:30,4:30
8,T,7:30,3:30
2,W,4:30,7:30
3,R,4:30,6:30
9,F,2:30,8:30
8,M,2:30,5:30
6,T,7:30,8:30
8,W,6:30,5:30
7,R,3:30,5:30
7,F,7:30,6:30
6,M,3:30,8:30
10,T,5:30,7:30
10,W,3:30,8:30
2,R,2:30,8:30
10,F,5:30,7:30
